,UID,Month,Date,Grs Oil,Grs Gas,Net Oil,Net Gas,Net NGL,Oil Revenue,Gas Revenue,NGL Revenue,Total Revenue,Total Tax,OPEX,Operating Income,Cumulative Op CF,Net Cashflow,Cumulative Net CF
30,81244.0,30.0,2024-03-01,1006.6118,106950.0095,13.3203661097014,1415.2558930622934,0.0,735.24,5024.09,0.0,5759.33,457.866735,0.0,5301.463265,260755.30946500003,5301.463265,260755.30946500003
31,81244.0,31.0,2024-04-01,963.3349,102933.5973,12.747688388167699,1362.1072205040427,0.0,703.63,4835.42,0.0,5539.05,440.354475,0.0,5098.695525,265854.00499000004,5098.695525,265854.00499000004
32,81244.0,32.0,2024-05-01,923.6427,99221.4117,12.2224465464771,1312.984339906814,0.0,674.64,4661.03,0.0,5335.67,424.18576499999995,0.0,4911.484235,270765.489225,4911.484235,270765.489225
33,81244.0,33.0,2024-06-01,887.1068,95779.6739,11.7389716218364,1267.4402607001145,0.0,647.95,4499.35,0.0,5147.3,409.21035,0.0,4738.08965,275503.578875,4738.08965,275503.578875
34,81244.0,34.0,2024-07-01,853.3645,92579.4599,11.2924640512085,1225.0922352652926,0.0,623.31,4349.02,0.0,4972.33,395.300235,0.0,4577.029765,280080.60864,4577.029765,280080.60864
35,81244.0,35.0,2024-08-01,822.1068,89595.8558,10.8788348768364,1185.6105811277134,0.0,600.48,4208.86,0.0,4809.34,382.34252999999995,0.0,4426.99747,284507.60611,4426.99747,284507.60611
36,81244.0,36.0,2024-09-01,793.0685,86807.2828,10.494574740800498,1148.7097487674844,0.0,579.27,4077.87,0.0,4657.139999999999,370.24263,0.0,4286.89737,288794.50348,4286.89737,288794.50348
37,81244.0,37.0,2024-10-01,766.0211,84194.9557,10.1366599316203,1114.1411560187262,0.0,559.51,3955.15,0.0,4514.66,358.91547,0.0,4155.74453,292950.24801000004,4155.74453,292950.24801000004
38,81244.0,38.0,2024-11-01,740.7662,81742.4427,9.8024650472926,1081.687362958877,0.0,541.06,3839.94,0.0,4381.0,348.28950000000003,0.0,4032.7105,296982.95851,4032.7105,296982.95851
39,81244.0,39.0,2024-12-01,717.131,79435.3071,9.489703447362999,1051.1573305702982,0.0,523.8,3731.56,0.0,4255.36,338.30111999999997,0.0,3917.0588799999996,300900.01739000005,3917.0588799999996,300900.01739000005
40,81244.0,40.0,2025-01-01,694.9645,77260.8116,9.1963769680085,1022.3825077797268,0.0,486.04,3722.3,0.0,4208.34,334.56303,0.0,3873.77697,304773.79436000006,3873.77697,304773.79436000006
41,81244.0,41.0,2025-02-01,674.1335,75207.6752,8.9207229905455,995.2136145468495,0.0,471.47,3623.38,0.0,4094.8500000000004,325.54057500000005,0.0,3769.3094250000004,308543.10378500004,3769.3094250000004,308543.10378500004
42,81244.0,42.0,2025-03-01,654.5208,73265.8694,8.661190622258399,969.517945004786,0.0,457.75,3529.83,0.0,3987.58,317.01261,0.0,3670.56739,312213.671175,3670.56739,312213.671175
43,81244.0,43.0,2025-04-01,636.0223,71426.4485,8.416402321067899,945.1771218415404,0.0,444.81,3441.21,0.0,3886.02,308.93859,0.0,3577.08141,315790.752585,3577.08141,315790.752585
44,81244.0,44.0,2025-05-01,618.5456,69681.4071,8.1851353695088,922.0852106155982,0.0,432.59,3357.13,0.0,3789.7200000000003,301.28274,0.0,3488.43726,319279.189845,3488.43726,319279.189845
45,81244.0,45.0,2025-06-01,602.0081,68023.5586,7.966296732271299,900.1471119618578,0.0,421.03,3277.26,0.0,3698.29,294.014055,0.0,3404.275945,322683.46579,3404.275945,322683.46579
46,81244.0,46.0,2025-07-01,586.336,66446.4332,7.758909823328,879.2772118385835,0.0,410.06,3201.28,0.0,3611.34,287.10153,0.0,3324.2384700000002,326007.70425999997,3324.2384700000002,326007.70425999997
47,81244.0,47.0,2025-08-01,571.4631,64944.1902,7.5620986264863,859.3982210044445,0.0,399.66,3128.9,0.0,3528.56,280.52052000000003,0.0,3248.03948,329255.74373999995,3248.03948,329255.74373999995
48,81244.0,48.0,2025-09-01,557.3295,63511.543,7.3750704926535,840.4401825530389,0.0,389.78,3059.88,0.0,3449.66,274.24797,0.0,3175.41203,332431.15576999995,3175.41203,332431.15576999995
49,81244.0,49.0,2025-10-01,543.8814,62143.6946,7.197113493262199,822.3396183925857,0.0,380.37,2993.98,0.0,3374.35,268.260825,0.0,3106.089175,335537.2449449999,3106.089175,335537.2449449999
50,81244.0,50.0,2025-11-01,531.0701,60836.2821,7.0275831873973,805.0387948214732,0.0,371.41,2930.99,0.0,3302.3999999999996,262.5408,0.0,3039.8592,338577.10414499993,3039.8592,338577.10414499993
51,81244.0,51.0,2025-12-01,518.8513,59585.3283,6.8658933587849,788.4850820572059,0.0,362.87,2870.72,0.0,3233.5899999999997,257.070405,0.0,2976.5195949999998,341553.62373999995,2976.5195949999998,341553.62373999995
52,81244.0,52.0,2026-01-01,507.1848,58387.2002,6.7115120459304,772.6304050721745,0.0,354.71,2815.23,0.0,3169.94,252.01023,0.0,2917.92977,344471.55350999994,2917.92977,344471.55350999994
53,81244.0,53.0,2026-02-01,496.0338,57238.572,6.563952279107399,757.430753977356,0.0,346.91,2759.85,0.0,3106.7599999999998,246.98742,0.0,2859.77258,347331.32608999993,2859.77258,347331.32608999993
54,81244.0,54.0,2026-03-01,485.3649,56136.3931,6.422772080357699,742.8457605703762,0.0,339.45,2706.7,0.0,3046.1499999999996,242.168925,0.0,2803.9810749999997,350135.30716499995,2803.9810749999997,350135.30716499995
55,81244.0,55.0,2026-04-01,475.1475,55077.8607,6.2875665237675,728.838335754791,0.0,332.3,2655.66,0.0,2987.96,237.54282,0.0,2750.41718,352885.72434499994,2750.41718,352885.72434499994
56,81244.0,56.0,2026-05-01,465.3534,54060.3944,6.1579624423182,715.3743334251111,0.0,325.45,2606.6,0.0,2932.0499999999997,233.097975,0.0,2698.9520249999996,355584.67636999994,2698.9520249999996,355584.67636999994
57,81244.0,57.0,2026-06-01,455.9569,53081.6148,6.0336197511737,702.4222672833204,0.0,318.88,2559.41,0.0,2878.29,228.824055,0.0,2649.465945,358234.14231499995,2649.465945,358234.14231499995
58,81244.0,58.0,2026-07-01,446.9341,52139.3241,5.9142221846693,689.9530541211392,0.0,312.57,2513.98,0.0,2826.55,224.710725,0.0,2601.8392750000003,360835.9815899999,2601.8392750000003,360835.9815899999
59,81244.0,59.0,2026-08-01,438.2632,51231.489,5.7994812661736,677.939787537897,0.0,306.51,2470.2,0.0,2776.71,220.748445,0.0,2555.961555,363391.9431449999,2555.961555,363391.9431449999
0,81214.0,0.0,2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,81214.0,1.0,2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,81214.0,2.0,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,81214.0,3.0,2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,81214.0,4.0,2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,81214.0,5.0,2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,81214.0,6.0,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,81214.0,7.0,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
